Checkpoint,Model,Seed,Train_Time_s,CV_F1_Mean,CV_F1_Std,Accuracy,Precision,Recall,F1-Macro,Kappa,ROC-AUC
Week 12,Random Forest,42,0.909,0.8816944344719057,0.005350648873620625,0.8689759036144579,0.8485312872834986,0.8527580858395012,0.8505769424764683,0.7011732086324981,0.9245286947107628
Week 12,XGBoost,42,0.538,0.8862756254648666,0.00942823478455577,0.8629518072289156,0.8417019788538281,0.8458459552585282,0.8437069168432025,0.6874340458110038,0.915836482308485
Week 12,Logistic Regression,123,0.023,0.8605474355802295,0.005054525297946636,0.858433734939759,0.8355251834978487,0.8449975536887251,0.8398850751628957,0.6798883999548677,0.9219262359076856
Week 12,Random Forest,123,0.767,0.8854627737959582,0.007143076479504936,0.8704819277108434,0.8496470996802958,0.8563442740701415,0.8528232249817008,0.7056949956192341,0.9243725471825782
Week 12,XGBoost,123,0.452,0.8883954849189598,0.005528391064009588,0.8659638554216867,0.8464476540323927,0.8455857093782205,0.8460139404599049,0.6920286833986492,0.9194799246327932
Week 12,Logistic Regression,256,0.022,0.8589474588681888,0.0082903196057393,0.858433734939759,0.8355251834978487,0.8449975536887251,0.8398850751628957,0.6798883999548677,0.9219262359076856
Week 12,Random Forest,256,1.063,0.8814082477622455,0.011850125272018147,0.8704819277108434,0.8500333487250527,0.8551055036798767,0.8524718915343915,0.7049712225012141,0.9251636946587135
Week 12,XGBoost,256,0.453,0.8843566724531581,0.0077826025830320155,0.875,0.858640352736677,0.8522375940788858,0.8553000884814018,0.7106374041793553,0.9192925475989715
Week 12,Logistic Regression,512,0.019,0.8583641606857831,0.009245789071073549,0.858433734939759,0.8355251834978487,0.8449975536887251,0.8398850751628957,0.6798883999548677,0.9219262359076856
Week 12,Random Forest,512,0.764,0.8826261597639687,0.004143224481154376,0.8719879518072289,0.8519459414983338,0.8562141511299877,0.8540119552931013,0.7080427900432453,0.9258611536179382
Week 12,XGBoost,512,0.443,0.8905423528344432,0.006110837635456778,0.8629518072289156,0.8425233644859813,0.8433684144779987,0.8429431778897765,0.6858871722359693,0.9180850067143438
Week 12,Logistic Regression,1024,0.023,0.8600030401849669,0.012740185192010853,0.858433734939759,0.8355251834978487,0.8449975536887251,0.8398850751628957,0.6798883999548677,0.9219262359076856
Week 12,Random Forest,1024,0.848,0.8794323324124231,0.011673549276509711,0.8674698795180723,0.8459168420731522,0.8541269791699198,0.8497552145472498,0.6995876733879676,0.9245286947107627
Week 12,XGBoost,1024,0.439,0.8805198951354563,0.009780982508404036,0.8659638554216867,0.8464476540323927,0.8455857093782205,0.8460139404599049,0.6920286833986492,0.9158781216493344
